model,method,target,threshold,tune_risk,coverage,realized_risk,ci_lo,ci_hi,held
haiku,M1,0.05,97,0.0,0.18666666666666668,0.0,0.0,0.0,True
haiku,M1,0.1,62,0.08955223880597014,0.9466666666666667,0.11267605633802817,0.04225352112676056,0.18309859154929578,True
haiku,M2,0.05,signal,0.09523809523809523,0.0,,,,False
haiku,M2,0.1,signal,0.09523809523809523,0.84,0.047619047619047616,0.0,0.1111111111111111,True
haiku,M3,0.05,signal,0.10638297872340426,0.0,,,,False
haiku,M3,0.1,signal,0.10638297872340426,0.0,,,,False
sonnet,M1,0.05,97,0.0,0.04,0.0,0.0,0.0,True
sonnet,M1,0.1,55,0.08695652173913043,0.9866666666666667,0.06756756756756757,0.013513513513513514,0.12162162162162163,True
sonnet,M2,0.05,signal,0.08620689655172414,0.0,,,,False
sonnet,M2,0.1,signal,0.08620689655172414,0.92,0.057971014492753624,0.014492753623188406,0.11594202898550725,True
sonnet,M3,0.05,signal,0.10344827586206896,0.0,,,,False
sonnet,M3,0.1,signal,0.10344827586206896,0.0,,,,False
opus,M1,0.05,99,0.0,0.02666666666666667,0.0,0.0,0.0,True
opus,M1,0.1,42,0.08108108108108109,1.0,0.08,0.02666666666666667,0.14666666666666667,True
opus,M2,0.05,signal,0.08450704225352113,0.0,,,,False
opus,M2,0.1,signal,0.08450704225352113,0.96,0.06944444444444445,0.013888888888888888,0.12534722222222192,True
opus,M3,0.05,signal,0.08196721311475409,0.0,,,,False
opus,M3,0.1,signal,0.08196721311475409,0.84,0.09523809523809523,0.031746031746031744,0.1746031746031746,True
