threshold,coverage,risk,n
99,0.04,0.0,6
98,0.14,0.0,21
97,0.16666666666666666,0.0,25
96,0.18,0.0,27
95,0.5933333333333334,0.033707865168539325,89
94,0.6066666666666667,0.03296703296703297,91
92,0.7,0.0380952380952381,105
90,0.74,0.036036036036036036,111
88,0.7533333333333333,0.035398230088495575,113
87,0.78,0.042735042735042736,117
85,0.8333333333333334,0.08,125
82,0.8466666666666667,0.08661417322834646,127
78,0.8733333333333333,0.08396946564885496,131
75,0.9,0.0962962962962963,135
68,0.9133333333333333,0.10218978102189781,137
62,0.92,0.10144927536231885,138
