threshold,coverage,risk,n
99,0.02,0.0,3
98,0.09333333333333334,0.07142857142857142,14
97,0.18666666666666668,0.03571428571428571,28
96,0.31333333333333335,0.0425531914893617,47
95,0.48,0.041666666666666664,72
94,0.5133333333333333,0.03896103896103896,77
93,0.64,0.03125,96
92,0.7,0.02857142857142857,105
91,0.7133333333333334,0.028037383177570093,107
90,0.7466666666666667,0.026785714285714284,112
89,0.7666666666666667,0.02608695652173913,115
88,0.84,0.047619047619047616,126
85,0.8666666666666667,0.046153846153846156,130
82,0.9,0.05925925925925926,135
80,0.9133333333333333,0.06569343065693431,137
78,0.9466666666666667,0.07042253521126761,142
76,0.9666666666666667,0.07586206896551724,145
72,0.9733333333333334,0.07534246575342465,146
68,0.98,0.07482993197278912,147
62,0.9866666666666667,0.07432432432432433,148
42,0.9933333333333333,0.08053691275167785,149
