threshold,coverage,risk,n
98,0.013333333333333334,0.0,2
97,0.03333333333333333,0.0,5
96,0.06,0.1111111111111111,9
95,0.1,0.06666666666666667,15
93,0.10666666666666667,0.0625,16
92,0.31333333333333335,0.06382978723404255,47
90,0.38,0.05263157894736842,57
88,0.4266666666666667,0.046875,64
85,0.5533333333333333,0.04819277108433735,83
82,0.56,0.047619047619047616,84
80,0.6666666666666666,0.04,100
78,0.72,0.046296296296296294,108
75,0.78,0.042735042735042736,117
72,0.8066666666666666,0.049586776859504134,121
70,0.8266666666666667,0.056451612903225805,124
68,0.8533333333333334,0.0625,128
65,0.8666666666666667,0.06153846153846154,130
62,0.9266666666666666,0.07913669064748201,139
55,0.9533333333333334,0.07692307692307693,143
