model,setting,metric,value
haiku,oracle,n,150.0
haiku,oracle,accuracy_all,0.8266666666666667
haiku,oracle,refusal_rate,0.08
haiku,oracle,accuracy_answered,0.8985507246376812
haiku,oracle,scale_error_rate,0.0
haiku,closedbook,n,150.0
haiku,closedbook,accuracy_all,0.18666666666666668
haiku,closedbook,refusal_rate,0.54
haiku,closedbook,accuracy_answered,0.4057971014492754
haiku,closedbook,scale_error_rate,0.006666666666666667
haiku,oracle,aurc_m1,0.02817203031273424
haiku,oracle,ece_m1,0.04579710144927525
haiku,oracle,coverage_at_5pct_risk_full,0.78
haiku,oracle,coverage_at_10pct_risk_full,0.9
haiku,oracle,m2_coverage,0.84
haiku,oracle,m2_risk,0.07142857142857142
haiku,oracle,m3_coverage,0.6733333333333333
haiku,oracle,m3_risk,0.12871287128712872
sonnet,oracle,n,150.0
sonnet,oracle,accuracy_all,0.88
sonnet,oracle,refusal_rate,0.04666666666666667
sonnet,oracle,accuracy_answered,0.9230769230769231
sonnet,oracle,scale_error_rate,0.0
sonnet,closedbook,n,150.0
sonnet,closedbook,accuracy_all,0.44666666666666666
sonnet,closedbook,refusal_rate,0.28
sonnet,closedbook,accuracy_answered,0.6203703703703703
sonnet,closedbook,scale_error_rate,0.0
sonnet,oracle,aurc_m1,0.055017442594458114
sonnet,oracle,ece_m1,0.09398601398601394
sonnet,oracle,coverage_at_5pct_risk_full,0.8066666666666666
sonnet,oracle,coverage_at_10pct_risk_full,0.9533333333333334
sonnet,oracle,m2_coverage,0.8466666666666667
sonnet,oracle,m2_risk,0.07086614173228346
sonnet,oracle,m3_coverage,0.7866666666666666
sonnet,oracle,m3_risk,0.09322033898305085
opus,oracle,n,150.0
opus,oracle,accuracy_all,0.9133333333333333
opus,oracle,refusal_rate,0.006666666666666667
opus,oracle,accuracy_answered,0.9194630872483222
opus,oracle,scale_error_rate,0.0
opus,closedbook,n,150.0
opus,closedbook,accuracy_all,0.6866666666666666
opus,closedbook,refusal_rate,0.1
opus,closedbook,accuracy_answered,0.762962962962963
opus,closedbook,scale_error_rate,0.0
opus,oracle,aurc_m1,0.04242273852903169
opus,oracle,ece_m1,0.04281879194630879
opus,oracle,coverage_at_5pct_risk_full,0.8666666666666667
opus,oracle,coverage_at_10pct_risk_full,0.9933333333333333
opus,oracle,m2_coverage,0.9533333333333334
opus,oracle,m2_risk,0.07692307692307693
opus,oracle,m3_coverage,0.8266666666666667
opus,oracle,m3_risk,0.08870967741935484
