model,method,target,rule,cov_med,cov_iqr_lo,cov_iqr_hi,risk_med,risk_iqr_lo,risk_iqr_hi,frac_runs_at_or_under_target
haiku,M1,0.05,plugin,0.76,0.65,0.8,0.03636363636363636,0.022222222222222223,0.0547979797979798,0.645
haiku,M1,0.1,plugin,0.8933333333333333,0.8500000000000001,0.92,0.10144927536231885,0.06451612903225806,0.11764705882352941,0.49
haiku,M2,0.05,plugin,0.7909632571996028,0.0,0.8448275862068966,0.06666666666666667,0.061224489795918366,0.0784313725490196,0.0
haiku,M2,0.1,plugin,0.8421052631578947,0.8148148148148148,0.8653846153846154,0.058823529411764705,0.0425531914893617,0.06666666666666667,0.985
haiku,M3,0.05,plugin,0.0,0.0,0.0,0.19139194139194138,0.18181818181818182,0.2,0.0
haiku,M3,0.1,plugin,0.0,0.0,0.8260869565217391,0.15,0.13636363636363635,0.16911764705882354,0.0
sonnet,M1,0.05,plugin,0.8133333333333334,0.6599999999999999,0.8666666666666667,0.0625,0.037037037037037035,0.07968509984639016,0.43
sonnet,M1,0.1,plugin,0.9466666666666667,0.9333333333333333,0.96,0.07519222071460877,0.058823529411764705,0.09722222222222222,0.875
sonnet,M2,0.05,plugin,0.0,0.0,0.0,0.1111111111111111,0.10416666666666667,0.11928571428571427,0.0
sonnet,M2,0.1,plugin,0.8148148148148148,0.7826797385620915,0.8478573712823793,0.08333333333333333,0.06666666666666667,0.09901960784313726,0.625
sonnet,M3,0.05,plugin,0.0,0.0,0.8,0.10263157894736842,0.09523809523809523,0.12,0.0
sonnet,M3,0.1,plugin,0.8076923076923077,0.75,0.850462962962963,0.08695652173913043,0.0533625730994152,0.10394736842105262,0.62
opus,M1,0.05,plugin,0.8666666666666667,0.7733333333333333,0.92,0.046875,0.017543859649122806,0.07692307692307693,0.54
opus,M1,0.1,plugin,0.9866666666666667,0.96,0.9866666666666667,0.07042253521126761,0.06408450704225352,0.09333333333333334,0.86
opus,M2,0.05,plugin,0.0,0.0,0.0,0.13593514328808448,0.12904040404040404,0.14360119047619047,0.0
opus,M2,0.1,plugin,0.9259259259259259,0.0,0.9456980519480519,0.09615384615384616,0.08333333333333333,0.11764705882352941,0.375
opus,M3,0.05,plugin,0.0,0.0,0.8,0.10526315789473684,0.09523809523809523,0.12,0.0
opus,M3,0.1,plugin,0.8076923076923077,0.75,0.85,0.08695652173913043,0.05263157894736842,0.10526315789473684,0.62
